,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
8198,ESPORTSTMNT03_3219326,G2 Esports,Gen.G,BrokenBlade,K'Sante,Yike,Maokai,Caps,Taliyah,Hans Sama,Lucian,Mikyx,Nautilus,Doran,Aatrox,Peanut,Rell,Chovy,Akali,Peyz,Xayah,Delight,Rakan,1,0
8199,ESPORTSTMNT03_3219433,Kwangdong Freecs Academy,Gen.G Academy,Allo,Tryndamere,Pressure,Maokai,Hades,Jayce,Whisper,Kai'Sa,Quantum,Leona,HorangE,Rumble,Toye,Rell,Dooly,Tristana,Slayer,Aphelios,Dahlia,Alistar,1,0
8200,ESPORTSTMNT03_3219447,DRX Academy,OKSavingsBank BRION Academy,unknown player,K'Sante,unknown player,Vi,EscA,Orianna,unknown player,Kai'Sa,unknown player,Nautilus,unknown player,Gnar,unknown player,Wukong,unknown player,Azir,unknown player,Xayah,unknown player,Rakan,1,0
8201,ESPORTSTMNT03_3219448,NRG Kia,MAD Lions KOI,Dhokla,Jayce,Contractz,Maokai,Palafox,Sylas,FBI,Kai'Sa,IgNar,Rell,Chasy,Rumble,Elyoya,Jarvan IV,Nisqy,Taliyah,Carzzy,Nilah,Hylissang,Alistar,0,1
8202,ESPORTSTMNT03_3219457,Hanwha Life Esports Academy,Liiv SANDBOX Academy,HaeTae,Gwen,Spike,Maokai,Tempester,Jayce,unknown player,Xayah,Pooh,Braum,unknown player,K'Sante,unknown player,Zac,unknown player,Orianna,unknown player,Draven,unknown player,Nautilus,0,1
8203,ESPORTSTMNT03_3219459,KT Rolster Academy,Dplus KIA  Academy,TOP,Renekton,unknown player,Rell,MID,Azir,unknown player,Kai'Sa,unknown player,Nautilus,Siwoo,K'Sante,Sharvel,Vi,Saint,Akali,Jinbeom,Sivir,unknown player,Alistar,0,1
8204,ESPORTSTMNT03_3219546,Team Liquid,GAM Esports,Summit,Renekton,Pyosik,Kindred,APA,Neeko,Yeon,Xayah,CoreJJ,Rakan,Kiaya,Kennen,Levi,Vi,Kati,Syndra,Slayder,Draven,Palette,Renata Glasc,0,1
8205,ESPORTSTMNT03_3219613,Rift Sloths,unknown team,Leks,Renekton,Ilgar,Jarvan IV,Imaginer,Orianna,Bcan,Draven,Tchokez,Nautilus,unknown player,Ornn,unknown player,Wukong,Merlin,Syndra,unknown player,Ezreal,unknown player,Rakan,0,1
8206,ESPORTSTMNT03_3219630,RQS Esports,Aurora,Dusseldrop,Aatrox,Jormag,Poppy,ZLX,Orianna,Space,Tristana,Baul,Rell,Gilgamesh,Darius,Gremy,Lillia,Nathell,Syndra,Chams,Sivir,Mastervegetal,Rakan,0,1
8207,ESPORTSTMNT03_3219770,Dynasty,unknown team,Hasagi,Jax,Hummelu,Graves,Franky,Orianna,DarkUniQ,Xayah,CrabLord,Rakan,Enva,Fiora,Calumma,Lee Sin,Reus,Syndra,Saxuralle,Kai'Sa,Kyu,Nautilus,0,1
8208,ESPORTSTMNT03_3219774,Jörmungang,Senshi eSports,Axo,Renekton,Ovale,Lillia,Druust,Orianna,Dan,Vayne,Solenne,Rakan,Electro,Jax,Lapis,Jarvan IV,Moon Prince,Akali,Criptik,Kai'Sa,Quavõ,Lissandra,0,1
8209,ESPORTSTMNT03_3219882,Los Heretics,Wizards,Myrwn,Sejuani,bluerzor,Bel'Veth,Zwyroo,Orianna,Jackspektra,Xayah,marlon,Rakan,IceBreaker,Ornn,Aincardz,Nocturne,Tsiperakos,Syndra,Lindgarde,Senna,Simpy,Seraphine,0,1
8210,ESPORTSTMNT03_3219890,Los Heretics,Wizards,Myrwn,Jayce,bluerzor,Ivern,Zwyroo,Azir,Jackspektra,Zeri,marlon,Rell,IceBreaker,Malphite,Aincardz,Viego,Tsiperakos,Ziggs,Lindgarde,Kai'Sa,Simpy,Nautilus,0,1
8211,ESPORTSTMNT03_3219949,MAD Lions KOI,Weibo Gaming,Chasy,K'Sante,Elyoya,Vi,Nisqy,Sylas,Carzzy,Ashe,Hylissang,Alistar,TheShy,Aatrox,Weiwei,Rell,Xiaohu,Ahri,Light,Kalista,Crisp,Renata Glasc,1,0
