teamTag,Games Played,Games Won,Win Ratio,Games Played Blue,Games Won Blue,Win Ratio Blue,Games Played Red,Games Won Red,Win Ratio Red
Mac,12,4,0.3333333333333333,7,4,0.5714285714285714,5,0,0.0,
NGU,13,3,0.23076923076923078,5,1,0.2,8,2,0.25,
NH,3,1,0.3333333333333333,2,1,0.5,1,0,0.0,
NIP,37,11,0.2972972972972973,19,4,0.21052631578947367,18,7,0.3888888888888889,
NJE,48,22,0.4583333333333333,23,12,0.5217391304347826,25,10,0.4,
NJF,20,11,0.55,9,8,0.8888888888888888,11,3,0.2727272727272727,
NME,21,6,0.2857142857142857,8,3,0.375,13,3,0.23076923076923078,
NR1,49,15,0.30612244897959184,24,9,0.375,25,6,0.24,
NRG,64,20,0.3125,28,14,0.5,36,6,0.16666666666666666,
NTR,2,0,0.0,1,0,0.0,1,0,0.0,
NV,210,86,0.4095238095238095,99,48,0.48484848484848486,111,38,0.34234234234234234,
NWS,6,2,0.3333333333333333,4,2,0.5,2,0,0.0,
OG,141,65,0.46099290780141844,68,32,0.47058823529411764,73,33,0.4520547945205479,
OHM,20,8,0.4,10,4,0.4,10,4,0.4,
OMG,17,9,0.5294117647058824,8,5,0.625,9,4,0.4444444444444444,
ONE,27,17,0.6296296296296297,18,12,0.6666666666666666,9,5,0.5555555555555556,
OPK,45,17,0.37777777777777777,23,11,0.4782608695652174,22,6,0.2727272727272727,
OPT,4,1,0.25,2,1,0.5,2,0,0.0,
